Epoch,Train Loss,Train Accuracy
1,0.061097554952962096,98.08
2,0.043498043815462975,98.66
3,0.04130007501522518,98.64
4,0.038457709647845596,98.82
5,0.03436592302231747,98.84
6,0.032465888416783134,98.94
7,0.028382220902594377,99.02
8,0.027289057094499965,99.06
9,0.025897678959362836,99.12
10,0.024334971085235264,99.2
11,0.022332091919579515,99.24
12,0.02203931779193597,99.26
13,0.022322933536592374,99.16
14,0.020386510947200166,99.28
15,0.017945678348899197,99.46
16,0.018678267685856648,99.48
17,0.02109783846784122,99.22
18,0.01666437913767495,99.52
19,0.01701272782214523,99.56
20,0.018250518984248072,99.42

Test Accuracy,98.475
Mean Training Accuracy,99.099
Variance Training Accuracy,0.1313463157894741
Mean Training Loss,0.027690969377713114
Variance Training Loss,0.00012824726355168575
